question,,doc,relevant,recall,precision,interpolated precision,,,question,,doc,relevant,recall,precision,interpolated precision
1,CACM-1410,1,1.00,0.2,1,1,,,2,CACM-3078,1,1,0.333333333,1,1
1,CACM-1938,2,0.00,0.2,0.5,0.5,,,2,CACM-2434,2,1,0.666666667,1,1
1,CACM-2572,3,0.00,0.2,0.333333333,0.333333333,,,2,CACM-2863,3,1,1,1,1
1,CACM-1827,4,0.00,0.2,0.25,0.25,,,2,CACM-1272,4,0,1,0.75,0.75
1,CACM-1908,5,0.00,0.2,0.2,0.2,,,2,CACM-1364,5,0,1,0.6,0.6
1,CACM-2371,6,0.00,0.2,0.166666667,0.181818182,,,2,CACM-2572,6,0,1,0.5,0.5
1,CACM-1333,7,0.00,0.2,0.142857143,0.181818182,,,2,CACM-1651,7,0,1,0.428571429,0.428571429
1,CACM-1885,8,0.00,0.2,0.125,0.181818182,,,2,CACM-2304,8,0,1,0.375,0.375
1,CACM-1280,9,0.00,0.2,0.111111111,0.181818182,,,2,CACM-3129,9,0,1,0.333333333,0.333333333
1,CACM-1071,10,0.00,0.2,0.1,0.181818182,,,2,CACM-1264,10,0,1,0.3,0.3
1,CACM-1605,11,1.00,0.4,0.181818182,0.181818182,,,2,CACM-1519,11,0,1,0.272727273,0.272727273
1,CACM-3181,12,0.00,0.4,0.166666667,0.166666667,,,2,CACM-0497,12,0,1,0.25,0.25
1,CACM-1844,13,0.00,0.4,0.153846154,0.153846154,,,2,CACM-0727,13,0,1,0.230769231,0.230769231
1,CACM-2535,14,0.00,0.4,0.142857143,0.142857143,,,2,CACM-0335,14,0,1,0.214285714,0.214285714
1,CACM-1680,15,0.00,0.4,0.133333333,0.133333333,,,2,CACM-0397,15,0,1,0.2,0.2
1,CACM-2950,16,0.00,0.4,0.125,0.125,,,2,CACM-1977,16,0,1,0.1875,0.1875
1,CACM-0397,17,0.00,0.4,0.117647059,0.117647059,,,2,CACM-0282,17,0,1,0.176470588,0.176470588
1,CACM-1033,18,0.00,0.4,0.111111111,0.111111111,,,2,CACM-1155,18,0,1,0.166666667,0.166666667
1,CACM-1591,19,0.00,0.4,0.105263158,0.105263158,,,2,CACM-2177,19,0,1,0.157894737,0.157894737
1,CACM-2036,20,0.00,0.4,0.1,0.1,,,2,CACM-2051,20,0,1,0.15,0.15
